year,temp,mean_of_temp
1901,20.060848333333336,20.060848333333336
1902,20.406835833333332,20.406835833333332
1903,19.46482083333333,19.46482083333333
1904,19.970375833333332,19.970375833333332
1905,19.448188333333334,19.448188333333334
1906,19.809450833333333,19.809450833333333
1907,19.509705,19.509705
1908,19.555155,19.555155
1909,19.414420833333335,19.414420833333335
1910,19.391983333333332,19.391983333333332
1911,19.63944,19.63944
1912,20.00243,20.00243
1913,19.532539166666666,19.532539166666666
1914,19.890279166666666,19.890279166666666
1915,20.414376666666666,20.414376666666666
1916,19.80906166666667,19.80906166666667
1917,19.383954166666665,19.383954166666665
1918,19.549899166666666,19.549899166666666
1919,19.443841666666668,19.443841666666668
1920,19.412104166666666,19.412104166666666
1921,20.223353333333332,20.223353333333332
1922,20.031590833333333,20.031590833333333
1923,19.488315,19.488315
1924,19.702205,19.702205
1925,19.801840833333333,19.801840833333333
1926,19.622870833333334,19.622870833333334
1927,19.478991666666666,19.478991666666666
1928,19.944749166666668,19.944749166666668
1929,19.606377499999997,19.606377499999997
1930,19.4386225,19.4386225
1931,19.87306166666667,19.87306166666667
1932,20.104316666666666,20.104316666666666
1933,19.694536666666668,19.694536666666668
1934,19.897950833333333,19.897950833333333
1935,19.293058333333335,19.293058333333335
1936,19.879406666666668,19.879406666666668
1937,19.48693833333333,19.48693833333333
1938,19.883295,19.883295
1939,19.919812500000003,19.919812500000003
1940,20.223160833333335,20.223160833333335
1941,20.984645833333335,20.984645833333335
1942,20.1711925,20.1711925
1943,19.999103333333334,19.999103333333334
1944,19.836275833333335,19.836275833333335
1945,19.557230833333332,19.557230833333332
1946,20.484615833333333,20.484615833333333
1947,20.621906666666668,20.621906666666668
1948,20.076127500000002,20.076127500000002
1949,19.831065,19.831065
1950,18.907104166666667,18.907104166666667
1951,19.880544166666667,19.880544166666667
1952,20.012620000000002,20.012620000000002
1953,20.556140833333334,20.556140833333334
1954,19.9103625,19.9103625
1955,19.904329999999998,19.904329999999998
1956,19.805875,19.805875
1957,19.123395833333333,19.123395833333333
1958,20.573800000000002,20.573800000000002
1959,20.131860833333334,20.131860833333334
1960,19.881630833333332,19.881630833333332
1961,19.753663333333332,19.753663333333332
1962,19.779220833333333,19.779220833333333
1963,20.461926666666667,20.461926666666667
1964,19.455764166666665,19.455764166666665
1965,19.736968333333333,19.736968333333333
1966,19.83545833333333,19.83545833333333
1967,19.678001666666667,19.678001666666667
1968,19.5389375,19.5389375
1969,20.301930000000002,20.301930000000002
1970,20.421614166666668,20.421614166666668
1971,20.1752675,20.1752675
1972,19.34572916666667,19.34572916666667
1973,20.05651,20.05651
1974,19.670916666666667,19.670916666666667
1975,19.41561833333333,19.41561833333333
1976,19.698890833333333,19.698890833333333
1977,20.5280825,20.5280825
1978,20.0684175,20.0684175
1979,19.885080833333333,19.885080833333333
1980,20.389884166666665,20.389884166666665
1981,20.206408333333332,20.206408333333332
1982,19.5101975,19.5101975
1983,19.611718333333332,19.611718333333332
1984,19.920436666666667,19.920436666666667
1985,20.2429075,20.2429075
1986,19.578992500000002,19.578992500000002
1987,20.42715,20.42715
1988,20.858066666666666,20.858066666666666
1989,19.541076666666665,19.541076666666665
1990,20.35334166666667,20.35334166666667
1991,19.842869166666667,19.842869166666667
1992,19.705821666666665,19.705821666666665
1993,20.407645,20.407645
1994,20.11169333333333,20.11169333333333
1995,19.943789166666665,19.943789166666665
1996,19.8598875,19.8598875
1997,19.44473916666667,19.44473916666667
1998,20.465836666666664,20.465836666666664
1999,20.8558725,20.8558725
2000,20.692855833333336,20.692855833333336
2001,20.780218333333334,20.780218333333334
2002,20.80696083333333,20.80696083333333
2003,20.334099166666665,20.334099166666665
2004,21.051189166666667,21.051189166666667
2005,20.1510325,20.1510325
2006,20.9946925,20.9946925
2007,20.61802833333333,20.61802833333333
2008,20.514409166666667,20.514409166666667
2009,20.910591666666665,20.910591666666665
2010,20.9999225,20.9999225
2011,20.724895,20.724895
2012,20.05353583333333,20.05353583333333
2013,20.652716666666667,20.652716666666667
2014,20.527867500000003,20.527867500000003
2015,20.559059166666668,20.559059166666668
2016,21.414616666666664,21.414616666666664
